idÏÏposicionÏÏnombreÏÏcodfichero
359ÏÏ0ÏÏCODDIVISAÏÏDivisasÏÏÖ
360ÏÏ1ÏÏNOMBREÏÏDivisasÏÏÖ
361ÏÏ2ÏÏSIMBOLOÏÏDivisasÏÏÖ
362ÏÏ3ÏÏPOSSIMBOLÏÏDivisasÏÏÖ
363ÏÏ4ÏÏDECIMALESÏÏDivisasÏÏÖ
364ÏÏ5ÏÏBANDERAÏÏDivisasÏÏÖ
365ÏÏ6ÏÏSCTANEGÏÏDivisasÏÏÖ
366ÏÏ7ÏÏSCTAPOSÏÏDivisasÏÏÖ
367ÏÏ8ÏÏSCTAPOSMEÏÏDivisasÏÏÖ
368ÏÏ9ÏÏNOMMONEDAÏÏDivisasÏÏÖ
369ÏÏ10ÏÏNOMFRACCIOÏÏDivisasÏÏÖ
370ÏÏ11ÏÏFORMATOÏÏDivisasÏÏÖ
371ÏÏ12ÏÏCODBANCOÏÏDivisasÏÏÖ
372ÏÏ13ÏÏLZONAEU
ÏÏDivisasÏÏÖ
500ÏÏ0ÏÏCODÏÏSubcuentasÏÏÖ
501ÏÏ1ÏÏTITULOÏÏSubcuentasÏÏÖ
511ÏÏ11ÏÏTPCÏÏSubcuentasÏÏÖ
513ÏÏ13ÏÏRECEQUIVÏÏSubcuentasÏÏÖ
565ÏÏ65ÏÏDIVISAÏÏSubcuentasÏÏÖ
566ÏÏ66ÏÏCODDIVISAÏÏSubcuentasÏÏÖ
569ÏÏ69ÏÏDOCUMENTOÏÏSubcuentasÏÏÖ
571ÏÏ71ÏÏSUMADBEUÏÏSubcuentasÏÏÖ
572ÏÏ72ÏÏSUMAHBEUÏÏSubcuentasÏÏÖ
123ÏÏ0ÏÏCCODCLIÏÏClientesÏÏÖ
124ÏÏ1ÏÏCNOMCLIÏÏClientesÏÏÖ
125ÏÏ2ÏÏCNOMCOMÏÏClientesÏÏÖ
126ÏÏ3ÏÏCDIRCLIÏÏClientesÏÏÖ
127ÏÏ4ÏÏCPOBCLIÏÏClientesÏÏÖ
128ÏÏ5ÏÏCCODPROVÏÏClientesÏÏÖ
129ÏÏ6ÏÏCPTLCLIÏÏClientesÏÏÖ
130ÏÏ7ÏÏCTFO1CLIÏÏClientesÏÏÖ
131ÏÏ8ÏÏCTFO2CLIÏÏClientesÏÏÖ
132ÏÏ9ÏÏCFAXCLIÏÏClientesÏÏÖ
133ÏÏ10ÏÏCDNICIFÏÏClientesÏÏÖ
134ÏÏ11ÏÏCCONTACTOÏÏClientesÏÏÖ
135ÏÏ12ÏÏCNBRBCOÏÏClientesÏÏÖ
136ÏÏ13ÏÏCDIRBCOÏÏClientesÏÏÖ
137ÏÏ14ÏÏCPOBBCOÏÏClientesÏÏÖ
138ÏÏ15ÏÏCPROVBCOÏÏClientesÏÏÖ
139ÏÏ16ÏÏCENTIDADÏÏClientesÏÏÖ
140ÏÏ17ÏÏCAGENCIAÏÏClientesÏÏÖ
141ÏÏ18ÏÏCCUENTAÏÏClientesÏÏÖ
142ÏÏ19ÏÏCOBSCLIÏÏClientesÏÏÖ
143ÏÏ20ÏÏCCODPAGOÏÏClientesÏÏÖ
144ÏÏ21ÏÏNDIA1PAGOÏÏClientesÏÏÖ
145ÏÏ22ÏÏNDIA2PAGOÏÏClientesÏÏÖ
146ÏÏ23ÏÏCCODAGEÏÏClientesÏÏÖ
147ÏÏ24ÏÏNDTOÏÏClientesÏÏÖ
148ÏÏ25ÏÏNDPPÏÏClientesÏÏÖ
149ÏÏ26ÏÏNMOROSOSÏÏClientesÏÏÖ
150ÏÏ27ÏÏNRIESGOÏÏClientesÏÏÖ
151ÏÏ28ÏÏNCOPFACÏÏClientesÏÏÖ
152ÏÏ29ÏÏCCODRAPÏÏClientesÏÏÖ
153ÏÏ30ÏÏCSERIEFACTÏÏClientesÏÏÖ
154ÏÏ31ÏÏCCTAREMÏÏClientesÏÏÖ
155ÏÏ32ÏÏNIVAÏÏClientesÏÏÖ
156ÏÏ33ÏÏLREQÏÏClientesÏÏÖ
157ÏÏ34ÏÏCSUBCTAÏÏClientesÏÏÖ
158ÏÏ35ÏÏCCTAVTASÏÏClientesÏÏÖ
159ÏÏ36ÏÏLMAYORISTAÏÏClientesÏÏÖ
160ÏÏ37ÏÏLSELECTÏÏClientesÏÏÖ
161ÏÏ38ÏÏNRIESGOALCÏÏClientesÏÏÖ
162ÏÏ39ÏÏNETIQUETASÏÏClientesÏÏÖ
163ÏÏ40ÏÏCDIRECCIONÏÏClientesÏÏÖ
